ur_id,block,rating,lastKeypress,RPAmp,id,burstcount,betamedian,betamean,startlast,endlast,amplast,durlast
13,3,3,2.021998380078,2.91798973083496,13,3,1.5957818031311,1.57611572742462,7,26,3.10306358337402,20
13,3,4,3.60868396438309,-3.0887348651886,13,0,0.966219305992126,0.989833414554596,250,250,0.55279403924942,1
13,3,2,2.02142577717314,-5.63020038604736,13,2,1.26173233985901,1.38701581954956,48,69,1.57620120048523,22
13,3,6,5.30925299294177,16.7781429290771,13,0,1.11253237724304,1.11795568466187,250,250,1.26700818538666,1
13,3,4,7.78749449024326,-10.1548748016357,13,3,1.46869707107544,1.53834199905396,219,239,1.62607288360596,21
13,3,5,5.1125241398986,2.48541688919067,13,3,1.48693060874939,1.51378059387207,211,221,1.73472452163696,11
13,3,0,2.60880971458391,9.50800609588623,13,3,1.27688360214233,1.4165061712265,119,133,2.2708420753479,15
13,3,6,4.23562774667516,-39.7144470214844,13,0,1.17225360870361,1.17415821552277,250,250,0.658543348312378,1
13,3,4,6.24095659173327,17.4554176330566,13,4,1.86681270599365,1.9101345539093,156,196,2.46206045150757,41
13,3,2,2.05360407821718,-21.3922672271729,13,3,1.60276126861572,1.69306468963623,195,222,1.53387749195099,28
13,3,7,13.8241390716576,-1.71379995346069,13,2,1.38885164260864,1.4349170923233,181,193,1.64219379425049,13
13,3,5,2.23492596988217,-25.8766975402832,13,0,1.26891708374023,1.23541343212128,250,250,0.774271309375763,1
13,3,5,11.2378804128384,-28.8395900726318,13,5,1.81680035591125,1.82462310791016,236,240,1.97417044639587,5
13,3,6,4.81802304985467,-9.62304019927979,13,5,2.1712007522583,2.33059811592102,212,230,2.22023463249207,19
13,3,3,16.7052551952947,12.6636428833008,13,2,1.48512470722198,1.48510348796844,192,195,1.11035573482513,4
13,3,6,4.09315685549518,-23.8916854858398,13,1,1.58482420444489,1.51624846458435,154,162,2.10927724838257,9
13,3,4,4.92262193281204,-3.29656791687012,13,0,1.25278282165527,1.22644996643066,250,250,1.33805751800537,1
13,3,1,17.9769227139768,-7.87447547912598,13,0,1.47698950767517,1.41734182834625,250,250,1.8476151227951,1
13,3,5,4.9897838664765,-5.30977535247803,13,3,1.43373155593872,1.61066687107086,164,178,1.68471717834473,15
13,3,7,2.61368155301898,4.90526247024536,13,4,1.58948409557343,1.68383574485779,151,177,2.36458492279053,27
13,3,6,11.124003091827,20.172679901123,13,1,1.43779730796814,1.39367473125458,1,21,3.20956206321716,21
13,3,5,7.23928631618037,1.82560133934021,13,3,1.37653028964996,1.39422214031219,102,112,1.05557954311371,11
13,4,2,2.13985784834949,12.6207866668701,13,5,1.92518413066864,2.04137969017029,222,250,2.47102403640747,29
13,4,4,2.92944055443513,-22.9522399902344,13,4,1.68295836448669,1.68358826637268,81,103,2.20916771888733,23
13,4,5,4.8845104566426,13.162145614624,13,2,1.20011246204376,1.30192410945892,173,188,2.17969250679016,16
