ur_id,block,rating,lastKeypress,RPAmp,id,burstcount,betamedian,betamean,startlast,endlast,amplast,durlast
18,4,6,4.4282771232829,-13.1300497055054,18,5,2.77488303184509,3.01449656486511,142,187,3.39413332939148,46
18,4,2,2.75053789218146,0.718886852264404,18,0,1.48002600669861,1.55715644359589,250,250,1.60771310329437,1
18,4,6,5.52105082476191,-5.51126480102539,18,1,1.65844810009003,1.75413024425507,207,217,1.79351043701172,11
18,4,6,3.58915742205863,3.81275248527527,18,3,2.12700724601746,2.29786658287048,161,187,2.12700724601746,27
18,4,4,2.43682688394256,-12.10608959198,18,3,1.94239115715027,2.06082344055176,44,62,4.43809223175049,19
18,4,7,8.75248903663669,10.7838010787964,18,1,1.41914653778076,1.46841895580292,69,72,1.42706727981567,4
18,4,3,3.1904861343246,13.9759349822998,18,1,1.6430070400238,1.78746998310089,19,28,2.27225351333618,10
18,4,2,2.05451465075748,-26.7126312255859,18,0,1.9304473400116,2.02294683456421,250,26,4.61227941513062,225
18,4,7,5.58783573983965,2.41796827316284,18,0,1.41298449039459,1.39102685451508,250,250,0.924737393856049,1
18,4,5,7.61894268100878,-3.06587934494019,18,2,2.28455924987793,2.42236852645874,221,250,4.03459596633911,30
18,4,6,4.25098539262763,-5.17438983917236,18,0,1.67103457450867,1.6570428609848,250,250,2.13163065910339,1
18,4,7,6.11779458573801,-21.6397800445557,18,0,1.26733350753784,1.29802739620209,250,250,0.633570432662964,1
18,4,7,4.78590620674368,7.38295221328735,18,1,1.46068298816681,1.64760053157806,45,67,1.3430141210556,23
18,5,5,6.70036837101725,4.39870405197144,18,4,1.60963714122772,2.17362689971924,158,185,4.24733829498291,28
18,5,7,7.70364025222079,-19.1463603973389,18,0,1.2750598192215,1.31274318695068,250,250,1.041379570961,1
18,5,5,2.91481429028499,-13.2394332885742,18,3,2.4898624420166,2.76966738700867,197,199,2.42578983306885,3
18,5,6,2.30469505018482,-14.2414989471436,18,0,1.27197265625,1.26288604736328,250,250,1.39712929725647,1
18,5,3,2.45635707811743,-6.56360721588135,18,2,3.29388999938965,3.33409667015076,190,199,3.27738475799561,10
18,5,6,10.1228999994601,-4.64179658889771,18,0,1.37099814414978,1.32189726829529,250,250,1.72793138027191,1
18,5,7,4.56311743743208,-1.44476771354675,18,1,1.27534770965576,1.46067035198212,155,162,1.41233611106873,8
18,5,2,2.10678513240418,-0.676559627056122,18,0,1.40835809707642,1.53644692897797,250,250,1.42785549163818,1
18,5,3,3.03754430087429,14.1095323562622,18,0,1.56932699680328,1.71314013004303,250,250,2.3074734210968,1
18,5,1,3.02476088809635,-27.5050277709961,18,0,1.8071516752243,1.80779695510864,250,250,1.90661084651947,1
18,5,5,2.16189892781767,-3.39365887641907,18,5,2.50172924995422,2.40682196617126,211,220,2.03363656997681,10
18,5,6,3.97185634357447,38.4822463989258,18,2,2.98621416091919,3.30496621131897,228,235,1.92542600631714,8
18,5,6,5.14777991347364,10.5416088104248,18,5,3.02843856811523,3.02723670005798,209,237,5.15322542190552,29
18,5,7,7.10645648172431,-3.42390251159668,18,0,1.14139401912689,1.29004764556885,250,250,1.0049135684967,1
18,5,6,4.62620048788449,-5.49947547912598,18,0,1.27639138698578,1.24096715450287,250,250,0.839050650596619,1
18,6,2,2.43619341062367,-15.1760864257812,18,0,1.78564417362213,1.72315835952759,250,250,1.65376102924347,1
