id,cond,rt
6,1,0.4296875
6,1,0.625
6,1,0.40234375
6,1,0.33984375
6,1,0.78125
6,1,1.09375
6,1,0.70703125
6,1,0.828125
6,1,0.5
6,1,0.7578125
6,1,0.890625
6,1,0.46875
6,1,0.890625
6,1,1.01953125
6,1,0.76171875
6,1,1.07421875
6,1,0.7265625
6,1,0.61328125
6,1,0.4609375
6,1,0.36328125
6,1,0.84765625
6,1,1.39453125
6,1,0.71875
6,1,0.73828125
6,1,0.62109375
6,1,0.64453125
6,1,0.48046875
6,1,0.44921875
6,1,0.40234375
6,1,0.70703125
6,1,0.8203125
6,1,0.83984375
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,2,999
6,3,1.5546875
6,3,0.5
6,3,2.16796875
6,3,2.171875
6,3,0.7265625
6,3,1.50390625
6,3,1.71484375
6,3,1.83984375
6,3,1.89453125
6,3,1.3671875
6,3,2.1484375
6,3,1.6640625
6,3,0.7890625
6,3,1.67578125
6,3,2.015625
6,3,0.15625
6,3,0.359375
6,3,2.07421875
6,3,0.0078125
6,3,1.15234375
6,3,0.43359375
6,3,0.0703125
6,3,2.15234375
6,3,0.01171875
6,3,1.7265625
6,3,2.1171875
6,3,0.86328125
6,3,2.00390625
6,3,1.140625
6,3,1.5546875
6,3,1.31640625
6,3,1.8046875
6,3,1.70703125
6,3,0.703125
6,3,2.1328125
6,3,2.2109375
6,3,0.8828125
6,3,2.2109375
6,3,1.96484375
6,3,0.42578125
6,3,2.18359375
6,3,2.2890625
6,3,1.06640625
6,3,2.2109375
6,3,2.21875
6,3,0.11328125
6,3,0.27734375
6,3,0.17578125
6,3,1.4921875
6,3,1.76171875
7,1,0.60546875
7,1,1
7,1,0.55859375
7,1,0.57421875
7,1,0.4609375
7,1,0.50390625
7,1,0.5703125
7,1,0.4296875
7,1,0.52734375
7,1,0.484375
7,1,0.59375
7,1,0.71484375
7,1,0.46484375
7,1,0.78125
7,1,1
7,1,0.50390625
7,1,0.5546875
7,1,0.5
7,1,0.5
7,1,0.51171875
7,1,0.4140625
7,1,0.5
7,1,0.71875
7,1,0.43359375
7,1,0.48046875
7,1,0.44140625
7,1,0.47265625
7,1,0.49609375
7,1,0.48828125
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,2,999
7,3,2.0078125
7,3,1.37890625
7,3,1.88671875
7,3,1.8125
7,3,0.1015625
7,3,1.953125
7,3,0.1875
7,3,1.88671875
7,3,1.58203125
7,3,0.17578125
7,3,1.9453125
7,3,2.15625
7,3,2.09375
7,3,2
7,3,1.53515625
7,3,0.22265625
7,3,1.8984375
7,3,1.25390625
7,3,0.03125
7,3,1.96875
7,3,1.96875
7,3,1.2578125
7,3,1.71484375
7,3,1.75
7,3,1.5390625
7,3,1.18359375
7,3,1.83203125
7,3,2.03125
7,3,2.06640625
7,3,2.1875
7,3,2.171875
7,3,2.07421875
7,3,0.16796875
7,3,0.03125
7,3,0.2578125
7,3,1.30078125
7,3,1.421875
7,3,1.40234375
7,3,1.88671875
7,3,1.1796875
7,3,0.05078125
7,3,1.9296875
7,3,1.3359375
7,3,2.125
7,3,2.2421875
7,3,1.4609375
7,3,1.5625
7,3,1.703125
7,3,1.2734375
7,3,1.28515625
7,3,1.265625
7,3,0.06640625
7,3,1.87109375
7,3,1.0703125
7,3,1.6015625
7,3,0.98046875
7,3,1.80859375
7,3,0.3203125
7,3,1.06640625
7,3,1.421875
7,3,1.4609375
7,3,1.0859375
7,3,1.41015625
7,3,1.33203125
7,3,1.8671875
7,3,1.625
7,3,1.16796875
7,3,1.29296875
7,3,0.1875
7,3,1.875
7,3,0.53125
7,3,2.16015625
7,3,0.3125
7,3,0.9609375
7,3,0.07421875
7,3,2.16015625
7,3,1.80859375
7,3,1.6015625
7,3,1.12890625
8,1,0.62890625
8,1,0.51171875
8,1,0.56640625
8,1,0.5546875
8,1,0.44140625
8,1,1.125
8,1,0.625
8,1,0.41796875
8,1,0.5625
8,1,0.53515625
8,1,0.51953125
8,1,0.62890625
8,1,0.62890625
8,1,0.67578125
8,1,0.75
8,1,0.41015625
8,1,0.8984375
8,1,0.51953125
8,1,0.5
8,1,0.67578125
8,1,0.73046875
8,1,0.5078125
8,1,1.625
8,1,0.58203125
8,1,0.7734375
8,1,0.6171875
8,1,0.59765625
8,1,0.72265625
8,1,0.60546875
8,1,0.6640625
8,1,0.875
8,1,0.5078125
8,1,1.1484375
8,1,0.609375
8,1,0.82421875
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,2,999
8,3,0.41015625
8,3,0.140625
8,3,0.42578125
8,3,0.1640625
8,3,0.45703125
8,3,0.5
8,3,0.359375
8,3,0.515625
8,3,0.0546875
8,3,0.08203125
8,3,1.81640625
8,3,0.04296875
8,3,0.76953125
8,3,0.5234375
8,3,0.30859375
8,3,0.3203125
8,3,0.58984375
8,3,0.0625
8,3,0.59765625
8,3,0.51953125
8,3,0.68359375
8,3,0.6484375
8,3,0.55078125
8,3,0.375
8,3,0.25
8,3,0.4296875
9,1,0.46875
9,1,0.66015625
9,1,0.328125
9,1,0.58984375
9,1,0.671875
9,1,0.50390625
9,1,0.68359375
9,1,0.5078125
9,1,0.55859375
9,1,0.62890625
9,1,0.3515625
9,1,0.45703125
9,1,0.47265625
9,1,0.38671875
9,1,0.4140625
9,1,0.53125
9,1,0.64453125
9,1,0.4453125
9,1,0.46484375
9,1,0.37109375
