id,cond,burstcount,betamedian,betamean,endlast,amplast
1,1,5,1.81170749664307,2.09419965744019,383,2.07532691955566
1,1,7,2.08420729637146,2.11094760894775,477,2.63280582427979
1,1,4,1.67610573768616,1.749138712883,340,1.29208159446716
1,1,3,1.76798701286316,1.87097561359406,306,1.4520674943924
1,1,10,2.22538042068481,2.27737712860107,424,2.87005352973938
1,1,5,2.13974690437317,2.13073921203613,429,2.06518197059631
1,1,5,1.90700328350067,1.93251073360443,312,2.52522611618042
1,1,5,1.80255782604218,1.95712149143219,226,1.38477087020874
1,1,5,1.82447028160095,1.87896144390106,314,2.22127032279968
1,1,1,1.68853616714478,1.68416666984558,425,0.84720766544342
1,1,4,1.95012617111206,1.95653212070465,257,2.12692332267761
1,1,7,1.88793563842773,2.09581160545349,310,1.87088930606842
1,1,1,1.56029868125916,1.61206316947937,447,1.9468080997467
1,1,5,2.03229141235352,2.10117053985596,474,2.72426605224609
1,1,0,1.52179789543152,1.5979220867157,499,2.34235000610352
1,1,4,1.6869432926178,1.81815123558044,185,2.8081202507019
1,1,5,1.82034885883331,1.98045980930328,486,1.16753888130188
1,1,2,1.4199538230896,1.59617793560028,298,1.63340950012207
1,1,1,1.35464465618134,1.56122422218323,499,1.23148858547211
1,1,4,1.90546894073486,1.83865523338318,411,2.03929448127747
1,1,2,1.57198882102966,1.61012351512909,376,1.28096973896027
1,1,4,1.77272152900696,1.80844020843506,469,2.17159390449524
1,1,3,1.4454550743103,1.51536905765533,319,1.29995632171631
1,1,1,1.72640872001648,1.76466202735901,369,1.54156613349915
1,1,1,1.70053553581238,1.79177176952362,178,2.0956974029541
1,1,7,2.07885217666626,2.14298486709595,494,2.19357824325562
1,1,5,1.85598874092102,1.86760294437408,129,2.19308543205261
1,1,4,1.55006182193756,1.82789099216461,353,1.79255521297455
1,1,5,2.08804845809937,2.16111874580383,260,2.84429550170898
1,1,5,1.76513862609863,1.88191890716553,472,3.31205129623413
1,1,2,1.69158744812012,1.79039740562439,320,2.23517680168152
1,1,7,2.00112152099609,2.07931733131409,445,2.70781779289246
1,1,6,1.95752668380737,2.28484034538269,420,2.30190825462341
1,1,6,1.99612283706665,2.21441340446472,429,3.23221874237061
1,1,7,2.30675888061523,2.15799570083618,484,2.70957350730896
1,1,6,2.07459020614624,2.2309787273407,388,1.63810110092163
1,1,7,2.13215708732605,2.15253758430481,376,2.25756025314331
1,1,1,1.53052616119385,1.63887774944305,499,1.9653160572052
1,1,8,2.38967370986938,2.48428440093994,438,4.22946882247925
1,1,2,1.67667245864868,1.77346289157867,187,1.47785294055939
1,1,8,2.51513195037842,2.62766695022583,434,4.67614221572876
1,1,6,2.1534731388092,2.17350625991821,417,2.08578681945801
1,1,8,1.78452968597412,1.98769748210907,450,3.37895274162292
1,1,5,1.74058330059052,2.01434397697449,463,1.54953503608704
1,1,4,1.77112305164337,1.8292361497879,460,1.70475852489471
1,1,3,1.58904194831848,1.70654785633087,237,1.86505842208862
1,1,0,1.73040199279785,1.71296501159668,499,1.8686695098877
1,1,6,2.46359252929688,2.6889169216156,431,2.33131217956543
1,1,1,1.65950751304626,1.69921731948853,443,2.44435906410217
1,1,4,1.82063674926758,1.92733323574066,490,2.1243679523468
1,1,3,1.69148313999176,1.72056770324707,49,1.4953031539917
1,1,3,1.84889006614685,1.94054448604584,380,3.03045392036438
1,1,3,1.70818686485291,1.77126204967499,447,2.38573455810547
1,1,4,1.81311357021332,1.94709956645966,134,1.81245148181915
1,1,5,1.88845014572144,2.11592984199524,455,1.63192057609558
1,1,6,1.85940134525299,2.17935967445374,213,4.25279188156128
1,1,3,1.86277186870575,2.04735445976257,472,2.30664467811584
1,1,4,2.06263542175293,2.32776594161987,303,3.99360084533691
1,1,5,2.07317590713501,2.07163190841675,407,2.36337971687317
1,1,5,2.00725936889648,2.04177784919739,282,2.43336009979248
1,1,4,2.05732488632202,2.09703993797302,193,3.60960960388184
1,1,4,1.7157678604126,1.86144316196442,271,1.29983472824097
1,1,7,2.19779586791992,2.26755380630493,453,3.23536992073059
1,1,9,2.23143100738525,2.25516963005066,461,1.50174713134766
1,1,3,1.67225670814514,1.76954817771912,440,1.23742043972015
1,1,4,1.74592018127441,1.84553158283234,300,1.71119487285614
1,1,3,1.74257946014404,1.75689387321472,292,1.78561902046204
1,1,0,1.56157004833221,1.61915469169617,499,1.57649600505829
1,1,6,2.33360910415649,2.36958146095276,477,3.19144248962402
1,1,5,2.01009035110474,2.09744381904602,300,1.49769556522369
1,1,6,2.10928726196289,2.33941841125488,370,1.68455505371094
1,1,2,1.7824854850769,1.88046669960022,245,2.82529664039612
1,1,2,1.54335951805115,1.68559837341309,220,1.95894312858582
1,1,5,1.62053334712982,1.72503960132599,212,2.98979091644287
1,1,7,2.07299327850342,2.16767358779907,454,0.921550095081329
1,1,7,2.03942656517029,2.04584217071533,481,3.12231659889221
1,1,5,2.24175620079041,2.35438370704651,381,2.2408401966095
1,1,6,2.05706214904785,2.19371581077576,447,2.43501901626587
1,1,1,1.47758615016937,1.54379439353943,60,1.37322747707367
1,1,5,2.59871482849121,2.98885703086853,358,2.60603380203247
1,1,3,1.68171417713165,1.85855782032013,160,1.98350429534912
1,1,9,2.46158456802368,2.62951803207397,473,1.98935985565186
1,1,3,1.72798788547516,1.76374387741089,75,2.1526198387146
1,1,5,2.16776990890503,2.32723712921143,286,2.99770021438599
1,1,9,2.34363269805908,2.40684771537781,444,1.53042781352997
