id,cond,burstcount,betamedian,betamean,endlast,amplast
1,2,4,2.27520799636841,2.6396746635437,327,2.54743385314941
1,2,1,1.89506006240845,1.94266629219055,92,2.3500828742981
1,2,3,1.66818356513977,2.07356691360474,229,3.62887382507324
1,2,1,1.56947994232178,1.6923223733902,361,1.7836799621582
1,2,0,1.58230364322662,1.62234342098236,449,0.655257165431976
1,2,0,1.90811204910278,1.90082943439484,449,1.68525981903076
1,2,4,1.8450174331665,2.08395648002625,191,2.42590641975403
1,3,1,1.97957491874695,2.035311460495,27,2.04065990447998
1,3,1,1.81498765945435,1.91719663143158,87,3.37597560882568
1,3,0,1.60993933677673,1.68228185176849,449,1.66946411132812
1,3,3,2.09071683883667,2.25111818313599,325,2.43787932395935
1,3,1,1.85451078414917,1.87075114250183,235,1.52502369880676
1,3,3,1.85245680809021,2.02691006660461,361,3.41155385971069
1,3,4,1.86261606216431,2.1018762588501,389,3.29561471939087
1,3,4,2.03337097167969,2.10250520706177,414,2.30541753768921
1,3,4,2.19698810577393,2.20666480064392,410,2.5883514881134
1,3,1,1.75490045547485,1.74685251712799,131,2.18009185791016
1,3,0,2.03083038330078,2.11444306373596,28,5.29047298431396
1,3,2,1.72836995124817,1.76704812049866,442,1.48355960845947
1,3,5,2.47534656524658,2.56150603294373,288,2.89062571525574
1,3,4,2.50067400932312,2.66782307624817,352,5.11955976486206
1,3,1,1.64583146572113,1.82051646709442,202,1.20515966415405
1,3,5,2.56421947479248,2.55289387702942,377,3.12298178672791
1,3,2,1.69526886940002,1.80501198768616,87,2.03765726089478
1,3,4,2.41044187545776,2.44558453559875,231,3.78103995323181
1,3,4,2.15974855422974,2.22198939323425,374,1.71090114116669
1,3,4,2.07279944419861,2.28339433670044,447,1.5544970035553
1,3,5,2.03254222869873,2.28872442245483,378,3.48467803001404
1,3,1,1.86302840709686,1.93977177143097,362,1.8802410364151
1,3,2,1.75414323806763,1.77109622955322,389,1.72195744514465
1,3,6,2.49333095550537,2.5465099811554,387,2.28774571418762
1,3,1,1.65026879310608,1.7502224445343,186,1.4086834192276
1,3,3,1.89657330513,2.04074001312256,301,1.92410683631897
1,3,6,2.54312086105347,2.70755124092102,378,1.79146909713745
1,3,2,2.11424160003662,2.18379497528076,60,2.23213815689087
1,3,2,2.11438417434692,2.11979699134827,280,1.89125955104828
1,3,1,2.20501399040222,2.25841736793518,83,3.60307121276855
1,3,2,1.8030412197113,1.90031790733337,431,2.54053497314453
1,3,5,2.31183290481567,2.63879060745239,399,3.58404779434204
1,3,4,2.27340602874756,2.40953397750854,417,2.03560948371887
1,3,2,1.59112584590912,1.70985841751099,40,1.99085640907288
2,1,1,0.736980080604553,0.813108205795288,150,0.688684046268463
2,1,6,1.23122692108154,1.22007083892822,357,1.78374350070953
2,1,0,0.585464239120483,0.667660057544708,449,1.04332256317139
2,1,2,0.995689332485199,1.01665699481964,320,0.978786468505859
2,1,0,0.789058923721313,0.793950736522675,449,0.762301206588745
2,1,1,0.941383004188538,0.925389528274536,386,1.01119494438171
2,1,1,0.818524241447449,0.881479144096375,236,0.891325533390045
2,1,1,0.809452831745148,0.895182490348816,446,1.14005589485168
2,1,0,0.78354549407959,0.823561549186707,449,1.15390491485596
2,1,4,1.17451143264771,1.28703808784485,413,1.86427175998688
2,1,1,0.891462385654449,0.942745625972748,273,1.4305614233017
2,1,2,0.905379891395569,0.971667528152466,129,1.89431250095367
2,1,0,0.650761246681213,0.672129571437836,449,0.336897253990173
2,1,1,0.749844670295715,0.790005207061768,67,2.18429136276245
2,1,0,0.666951179504395,0.674289286136627,449,0.644678950309753
2,1,3,0.945501923561096,1.01418387889862,256,1.19884741306305
2,1,1,0.858830451965332,0.88629412651062,55,1.11433780193329
2,1,1,0.86902242898941,0.88949978351593,274,0.760182440280914
2,1,0,0.766692996025085,0.788770914077759,449,0.83951723575592
2,1,4,0.928417801856995,0.983742594718933,306,1.11676383018494
2,1,2,0.986654341220856,1.15477752685547,409,1.21660399436951
2,1,1,0.916975021362305,0.977890491485596,205,1.17555475234985
2,1,0,0.78204733133316,0.775422275066376,449,0.908145725727081
2,1,2,0.810555279254913,0.884841501712799,98,0.651497602462769
2,1,3,1.14627289772034,1.24364972114563,292,1.79629015922546
2,1,3,1.08546829223633,1.14050889015198,443,2.23693656921387
2,1,3,0.954923987388611,1.0338294506073,220,1.65527784824371
2,2,1,0.662173330783844,0.720515966415405,209,0.718597590923309
2,2,3,1.06933975219727,1.05757308006287,337,1.01149880886078
2,2,4,1.08245611190796,1.23859524726868,368,2.90782976150513
2,2,1,0.8016117811203,0.857544958591461,37,2.39975619316101
